"POSTE_ID","ind","C_weekday","V_weekday","C_weekend","V_weekend"
520,"04",1.96875,15.859375,0.626865671641791,9.50248756218905
520,"05",6.208984375,74.1171875,1.76616915422886,27.1542288557214
520,"06",10.830078125,163.302734375,3.20398009950249,35.134328358209
520,"07",19.689453125,274.634765625,3.98507462686567,59.0049751243781
520,"08",19.625,224.537109375,5.03482587064677,99.1542288557214
520,"09",16.330078125,207.625,5.02985074626866,160.313432835821
520,"10",16.333984375,226.73828125,5.00995024875622,212.089552238806
520,"11",15.90234375,238,4.85572139303483,240.716417910448
520,"12",14.53515625,247.32421875,4.48258706467662,217.293532338308
520,"13",18.130859375,250.259765625,4.82587064676617,179.318407960199
520,"14",17.0859375,274.37109375,4.88059701492537,212.985074626866
520,"15",14.47265625,289.57421875,4.55223880597015,217.562189054726
520,"16",14.37109375,343.322265625,4.55223880597015,212.393034825871
520,"17",9.37890625,339.69140625,3.94029850746269,206.532338308458
520,"18",6.048828125,240.67578125,3.13930348258706,183.845771144279
520,"19",4.1640625,155.05859375,2.72636815920398,135.34328358209
520,"20",3.0703125,106.126953125,1.76119402985075,91.407960199005
520,"21",3.19921875,90.9921875,1.57213930348259,73.044776119403
520,"22",2.984375,72.533203125,1.25870646766169,60.2189054726368
520,"23",1.474609375,33.923828125,0.940298507462687,36.9751243781095
525,"00",0.0945378151260504,5.10924369747899,0.0540540540540541,16.1567567567568
525,"01",0.0357142857142857,2.56932773109244,0.0648648648648649,9.07027027027027
525,"02",0.0651260504201681,3.84663865546218,0.027027027027027,5.78918918918919
525,"03",0.0546218487394958,1.8781512605042,0.0486486486486487,3.38918918918919
525,"04",0.275210084033613,5.72478991596639,0.140540540540541,3.63783783783784
525,"05",1.05882352941176,27.9894957983193,0.454054054054054,10.7513513513514
525,"06",3.66386554621849,83.6848739495798,1.22162162162162,16.3837837837838
525,"07",6.59453781512605,131.102941176471,1.28648648648649,24.9837837837838
525,"08",9.09873949579832,91.9831932773109,1.71891891891892,40.2162162162162
525,"09",8.52100840336134,79.4075630252101,1.90810810810811,63.3945945945946
525,"10",8.09243697478992,81.6029411764706,1.85405405405405,82.172972972973
525,"11",7.65756302521008,86.0399159663866,1.77837837837838,97.945945945946
525,"12",6.02310924369748,89.2983193277311,1.30810810810811,91.7783783783784
525,"13",7.83193277310924,93.1281512605042,1.85405405405405,81.1189189189189
525,"14",8.35924369747899,106.384453781513,1.70810810810811,95.7459459459459
525,"15",7.36134453781513,117.13025210084,1.9027027027027,98.8864864864865
525,"16",6.63445378151261,148.035714285714,1.64864864864865,93.8108108108108
525,"17",4.04411764705882,149.615546218487,1.37837837837838,89.7945945945946
525,"18",2.85714285714286,106.865546218487,1.36756756756757,80.3567567567568
525,"19",1.65126050420168,64.6848739495798,0.67027027027027,57.1891891891892
525,"20",1.73319327731092,40.2899159663866,0.762162162162162,34.8054054054054
525,"21",0.579831932773109,31.8781512605042,0.313513513513514,29.2756756756757
525,"22",0.224789915966387,26.9033613445378,0.0864864864864865,25.5243243243243
525,"23",0.493697478991597,11.6806722689076,0.340540540540541,14.8648648648649
602,"00",2.92351816443595,5.84321223709369,1.5615763546798,14.871921182266
602,"01",1.8623326959847,3.75525812619503,1.15270935960591,7.8128078817734
602,"02",2.08413001912046,4.60803059273423,1.23152709359606,5.7192118226601
602,"03",3.64818355640535,6.16061185468451,1.35467980295567,4.7487684729064
602,"04",8.24665391969407,20.3460803059273,3.00985221674877,7.03448275862069
602,"05",18.7399617590822,121.024856596558,3.59605911330049,21.7684729064039
602,"06",32.1586998087954,214.483747609943,5.4384236453202,34.512315270936
602,"07",35.093690248566,302.61759082218,5.92610837438424,59.1625615763547
602,"08",34.7629063097514,269.780114722753,7.48275862068965,101.246305418719
602,"09",34.9101338432122,215.919694072658,7.89655172413793,178.502463054187
602,"10",38.0038240917782,239.95793499044,9.39408866995074,251.261083743842
602,"11",40.0133843212237,252.759082217973,10.7290640394089,284.285714285714
602,"12",38.1682600382409,296.856596558317,9.66009852216749,260.418719211823
602,"13",37.1950286806883,262.022944550669,8.6551724137931,250.783251231527
602,"14",35.3518164435946,275.409177820268,7.11330049261084,290.714285714286
602,"15",34.9483747609943,318.428298279159,6.42857142857143,304.103448275862
602,"16",30.585086042065,392.397705544933,5.91625615763547,272.113300492611
602,"17",24.2313575525813,398.307839388145,5.79802955665025,231.758620689655
602,"18",18.057361376673,250.336520076482,4.78325123152709,179.384236453202
602,"19",14.5200764818356,123.413001912046,5.00985221674877,106.527093596059
602,"20",9.73040152963671,69.3632887189293,2.83743842364532,66.2216748768473
602,"21",5.48183556405354,46.0554493307839,1.60098522167488,49
602,"22",3.36328871892925,33.1108986615679,1.19704433497537,34.0098522167488
602,"23",3.36328871892925,16.2772466539197,1.00492610837438,16.6600985221675
604,"00",0.655705996131528,5.5899419729207,0.671641791044776,14.9203980099502
604,"01",0.704061895551257,2.74081237911025,0.572139303482587,7.67661691542289
604,"02",0.667311411992263,1.92649903288201,0.442786069651741,4.87064676616915
604,"03",1.07930367504836,3.76402321083172,0.243781094527363,3.3681592039801
604,"04",1.62282398452611,9.23597678916828,0.557213930348259,3.57213930348259
604,"05",7.85493230174081,66.7292069632495,0.696517412935323,16.8109452736318
604,"06",15.2301740812379,145.868471953578,2.23880597014925,20.4726368159204
604,"07",20.9787234042553,191.193423597679,3.38308457711443,35.4427860696517
604,"08",20.4448742746615,153.249516441006,3.82587064676617,67.3283582089552
604,"09",20.8568665377176,138.99419729207,4.52238805970149,117.71144278607
604,"10",20.4158607350097,147.736943907157,4.21890547263682,142.417910447761
604,"11",19.6382978723404,149.822050290135,3.67164179104478,155.283582089552
604,"12",17.7253384912959,144.595744680851,3.36318407960199,129.422885572139
