"POSTE_ID","date","average_values"
2012,2020-02-29,0.5
2012,2020-03-01,9
2012,2020-03-02,2
2012,2020-03-03,6
2012,2020-03-04,4
2012,2020-03-05,2.5
2012,2020-03-06,2.5
2012,2020-03-07,14
2012,2020-03-08,13.5
2012,2020-03-09,1
2012,2020-03-10,14.5
2012,2020-03-11,1
2012,2020-03-12,0
2012,2020-03-13,1.5
2012,2020-03-14,19
2012,2020-03-15,35.5
2012,2020-03-16,16
2012,2020-03-17,37.5
2012,2020-03-18,16.5
2012,2020-03-19,29
2012,2020-03-20,32.5
2012,2020-03-21,8.5
2012,2020-03-22,40
2012,2020-03-23,15.5
2012,2020-03-24,24
2012,2020-03-25,23
2012,2020-03-26,24
2012,2020-03-27,23
2012,2020-03-28,78
2012,2020-03-30,25.5
2012,2020-03-31,21.5
2012,2020-04-01,20.5
2012,2020-04-02,25.5
2012,2020-04-03,18.5
2012,2020-04-04,47
2012,2020-04-05,92.5
2012,2020-04-06,33
2012,2020-04-07,43.5
2012,2020-04-08,35
2012,2020-04-09,56
2012,2020-04-10,51.5
2012,2020-04-11,73
2012,2020-04-12,90
2012,2020-04-13,51
2012,2020-04-16,54
2012,2020-04-17,47.5
2012,2020-04-18,49
2012,2020-04-19,87
2012,2020-04-20,29
2012,2020-04-21,34
2012,2020-04-22,41
2012,2020-04-23,38
2012,2020-04-24,45
2012,2020-04-25,78.5
2012,2020-04-26,108
2012,2020-04-27,36
2012,2020-04-28,13
2012,2020-04-29,23
2012,2020-04-30,6
2012,2020-05-01,28
2012,2020-05-02,20
2012,2020-05-03,58
2012,2020-05-04,16
2012,2020-05-05,34.5
2012,2020-05-06,38
2012,2020-05-07,40
2012,2020-05-08,34
2012,2020-05-09,37.5
2012,2020-05-10,45
2012,2020-05-11,3.5
2012,2020-05-12,25
2012,2020-05-13,24.5
2012,2020-05-14,15
2012,2020-05-15,38
2012,2020-05-16,51
2012,2020-05-17,49.5
2012,2020-05-18,25
2012,2020-05-19,43.5
2012,2020-05-20,26.5
2012,2020-05-21,71
2012,2020-05-22,30.5
2012,2020-05-23,13.5
2012,2020-05-24,63.5
2012,2020-05-25,26
2012,2020-05-26,34.5
2012,2020-05-27,21
2012,2020-05-28,29
2012,2020-05-29,20.5
2012,2020-05-30,41.5
2012,2020-05-31,55.5
2012,2020-06-01,59
2012,2020-06-02,29
2012,2020-06-03,22
2012,2020-06-04,4
2012,2020-06-05,6.5
2012,2020-06-06,23
2012,2020-06-07,56.5
2012,2020-06-08,13.5
2012,2020-06-09,13.5
2012,2020-06-10,17.5
2012,2020-06-11,18
2012,2020-06-12,15.5
2012,2020-06-13,25.5
2012,2020-06-14,46.5
2012,2020-06-15,14.5
2012,2020-06-16,24.5
2012,2020-06-17,3
2012,2020-06-18,18.5
2012,2020-06-19,13.5
2012,2020-06-20,22.5
2012,2020-06-21,47
2012,2020-06-22,16
2012,2020-06-23,64.5
2012,2020-06-24,30.5
2012,2020-06-25,14.5
2012,2020-06-26,12.5
2012,2020-06-27,17
2012,2020-06-28,43.5
2012,2020-06-29,17.5
2012,2020-06-30,23
2012,2020-07-01,19
2012,2020-07-02,10.5
2012,2020-07-03,17
2012,2020-07-04,14.5
2012,2020-07-05,40.5
2012,2020-07-06,18.5
2012,2020-07-07,25
2012,2020-07-08,12
2012,2020-07-09,24
2012,2020-07-10,13.5
2012,2020-07-11,39
2012,2020-07-12,65
2012,2020-07-13,19.5
2012,2020-07-14,11
2012,2020-07-15,20.5
2012,2020-07-16,7
2012,2020-07-17,26
2012,2020-07-18,21.5
2012,2020-07-19,39.5
2012,2020-07-20,25.5
2012,2020-07-21,23
2012,2020-07-22,27
2012,2020-07-23,22.5
2012,2020-07-24,18.5
2012,2020-07-25,21.5
2012,2020-07-26,28
2012,2020-07-27,23.5
2012,2020-07-28,23
2012,2020-07-29,25
2012,2020-07-30,11
2012,2020-07-31,15
2012,2020-08-01,12
2012,2020-08-02,36.5
2012,2020-08-03,11.5
2012,2020-08-04,25.5
2012,2020-08-05,18.5
2012,2020-08-06,22
2012,2020-08-07,13.5
2012,2020-08-08,15
2012,2020-08-09,17.5
2012,2020-08-10,16
2012,2020-08-11,21.5
2012,2020-08-12,14
2012,2020-08-13,23.5
2012,2020-08-14,13.5
2012,2020-08-15,33
2012,2020-08-16,36
2012,2020-08-17,14.5
2012,2020-08-18,19.5
2012,2020-08-19,19
2012,2020-08-20,16
2012,2020-08-21,12
2012,2020-08-22,23
2012,2020-08-23,42
2012,2020-08-24,9.5
2012,2020-08-25,22.5
2012,2020-08-26,5
2012,2020-08-27,17.5
2012,2020-08-28,13.5
2012,2020-08-29,19
2012,2020-08-30,30
2012,2020-08-31,1
2012,2020-09-01,21
2012,2020-09-02,14
2012,2020-09-03,16.5
2012,2020-09-04,26.5
2012,2020-09-05,24
2012,2020-09-06,49
2012,2020-09-07,16
2012,2020-09-08,26.5
2012,2020-09-09,18
2012,2020-09-10,11
2012,2020-09-11,21.5
2012,2020-09-12,23.5
2012,2020-09-13,55
2012,2020-09-14,11.5
2012,2020-09-15,16.5
2012,2020-09-16,7
2012,2020-09-17,18.5
2012,2020-09-18,15
2012,2020-09-19,31
2012,2020-09-20,55.5
2012,2020-09-21,13.5
2012,2020-09-22,15
2012,2020-09-23,11.5
2012,2020-09-24,7.5
2012,2020-09-25,2.5
2012,2020-09-26,6
2012,2020-09-27,17
2012,2020-09-28,5.5
2012,2020-09-29,13
2012,2020-09-30,5
2012,2020-10-01,5
2012,2020-10-02,3
2012,2020-10-03,12.5
2012,2020-10-04,10.5
2012,2020-10-05,2
2012,2020-10-06,3.5
2012,2020-10-07,5.5
2012,2020-10-08,5
2012,2020-10-09,1.5
2012,2020-10-10,17.5
2012,2020-10-11,27.5
2012,2020-10-12,2.5
2012,2020-10-13,8
2012,2020-10-14,6.5
2012,2020-10-15,7.5
2012,2020-10-16,8.5
2012,2020-10-17,16
2012,2020-10-18,31
2012,2020-10-19,16
2012,2020-10-20,6.5
2012,2020-10-21,10.5
2012,2020-10-22,8.5
2012,2020-10-23,0.5
2012,2020-10-24,15.5
2012,2020-10-25,10.5
2012,2020-10-26,6.5
2012,2020-10-28,4
2012,2020-10-29,3
2012,2020-10-30,4
2012,2020-10-31,27.5
2012,2020-11-01,6.5
2012,2020-11-02,14.5
2012,2020-11-03,11
2012,2020-11-04,12
2012,2020-11-05,18.5
2012,2020-11-06,11
2012,2020-11-07,29.5
2012,2020-11-08,35.5
2012,2020-11-09,8.5
2012,2020-11-10,6.5
2012,2020-11-11,2.5
2012,2020-11-12,9.5
2012,2020-11-13,3
2012,2020-11-14,27.5
2012,2020-11-15,36
2012,2020-11-16,1.5
2012,2020-11-17,8.5
2012,2020-11-18,10
2012,2020-11-19,2
2012,2020-11-20,5.5
2012,2020-11-21,18.5
2012,2020-11-22,37
2012,2020-11-23,2
2012,2020-11-24,10.5
2012,2020-11-25,5
2012,2020-11-26,3
2012,2020-11-27,4
2012,2020-11-28,31
2012,2020-11-29,24
2012,2020-11-30,2.5
2012,2020-12-01,6
2012,2020-12-02,3.5
2012,2020-12-03,1.5
2012,2020-12-04,1
2012,2020-12-05,24.5
2012,2020-12-06,27
2012,2020-12-07,4
2012,2020-12-08,1.5
2012,2020-12-09,1.5
2012,2020-12-10,4.5
2012,2020-12-11,1
2012,2020-12-12,12
2012,2020-12-13,35
2012,2020-12-14,7
