Year,Ligne,Localité Map,Montee_Weekday_vac,Descente_Weekday_vac
2018,16,Michelau,13.73972603,13.23561644
2018,16,Noertzange,78.89315068,91.97808219
2018,16,Pétange,210.1068493,199.7123288
2018,16,Pfaffenthal-Kirchberg,406.0082192,696.3150685
2018,16,Rodange,172.9041096,209.8493151
2018,16,Schifflange,295,303.9150685
2018,16,Troisvierges,246.1205479,221.4465753
2018,16,Walferdange,120.6849315,177.9671233
2018,16,Wilwerwiltz,57.83561644,75.2109589
2018,30,Betzdorf,25.84931507,36.53150685
2018,30,Cents-Hamm,8.791780822,10.27123288
2018,30,Igel,50.51780822,77.22465753
2018,30,Konz,806.6129032,703.4516129
2018,30,Konz,197.8328767,238.9780822
2018,30,Luxembourg,1424.778082,1407.350685
2018,30,Manternach,28.37808219,32.76438356
2018,30,Mertert,32.56438356,35.33150685
2018,30,Munsbach,66.1890411,70.81643836
2018,30,Oetrange,36.24931507,44.79178082
2018,30,Roodt-sur-Syre,51.37260274,59.93972603
2018,30,Contern,248.090411,282.4465753
2018,30,Trier,620.5315068,376.7753425
2018,30,Trier,215.6712329,259.8657534
2018,30,Wasserbillig,483.6767123,493.2986301
2018,30,Wecker,103.9753425,93.19178082
2018,50,Arlon,1882.583562,1538.334247
2018,50,NA,2.032258065,0
2018,50,Bertrange,199.9972603,212.4191781
2018,50,Capellen,141.3369863,133.9616438
2018,50,NA,6.064516129,0
2018,50,Kleinbettingen,287.5945205,307.5041096
2018,50,Luxembourg,2950.246575,3109.950685
2018,50,Mamer,224.8575342,214.9616438
2018,50,Mamer,130.0657534,178.7917808
2018,50,Rodange,0,28.25806452
2018,50,Virton,20.16129032,0
2018,60,Audun-le-Tiche,394.1863014,295.5835616
2018,60,Belval,259.2273973,193.0657534
2018,60,Belval,84.93424658,115.1424658
2018,60,Belval,1725.753425,1476.435616
2018,60,Belvaux,93.43287671,88.88767123
2018,60,Berchem,364.1342466,346.1643836
2018,60,Bettembourg,2711.808219,3005.706849
2018,60,Betzdorf,54.85753425,69.91506849
2018,60,Cents-Hamm,38.18082192,40.01369863
2018,60,Differdange,1186.257534,1142.268493
2018,60,Dudelange,225.1726027,219.5561644
2018,60,Dudelange,341.5890411,305.3041096
2018,60,Dudelange,165.9315068,189.5178082
2018,60,Dudelange,615.0547945,493.2794521
2018,60,Esch-sur-Alzette,4079.805479,3620.153425
2018,60,Howald,166.2958904,214.8164384
2018,60,Kayl,8.657534247,10.40547945
2018,60,Lamadelaine,95.85753425,234.4136986
2018,60,Luxembourg,5778.59726,6280.328767
2018,60,Manternach,36.67671233,57.37808219
2018,60,Mertert,43.33972603,54.01369863
2018,60,Munsbach,68.55342466,68.37534247
2018,60,Niederkorn,189.9479452,213.4575342
2018,60,Noertzange,251.6,246.3808219
2018,60,Oberkorn,239.3369863,228.6273973
2018,60,Oetrange,54.43013699,63.87945205
2018,60,Pétange,658.0986301,748.9835616
2018,60,Rodange,301.8520548,348.9342466
2018,60,Roodt-sur-Syre,80.84383562,77.74794521
2018,60,Rumelange,26.27123288,20.07123288
2018,60,Contern,88.87945205,89.08493151
2018,60,Schifflange,956.060274,872.1726027
2018,60,Tétange,8.819178082,6.6
2018,60,Volmerange-les-Mines,97.56164384,135.2191781
2018,60,Wasserbillig,146.6027397,173.9068493
2018,60,Wecker,97.6739726,115.4547945
2018,70,Athus,694.1835616,646.6547945
2018,70,NA,2.969863014,12.49041096
2018,70,Bascharage,803.3917808,908.2
2018,70,Dippach,423.3534247,484.8958904
2018,70,Dommeldange,45.02739726,109.909589
2018,70,NA,12.1497006,26.7005988
2018,70,Hollerich,382.109589,684.8027397
