id,label,cx,cy
689,Roodt/Eisch,473.627,1375.21
690,Vichten,472.987,1099.28
691,Eselborn,472.707,403.41
694,Alscheid,467.397,642.36
695,Sassel,467.137,302.23
696,Mertzig,466.927,1016.79
698,Olm,466.007,1472.51
699,Wilwerwiltz,465.677,591.77
700,Tadler,464.947,803.94
703,Bockholtz,462.137,769.37
704,Dippach,461.287,1668.48
705,Troisvierges,460.717,241.55
708,Saeul,456.527,1281.0
710,Enscherange,454.757,567.42
711,Boxhorn,453.827,344.42
714,Mondercange,452.557,1791.49
715,Basbellain,451.257,178.85
717,Bettange-sur-Mess,449.757,1688.11
718,Holzem,455.477,1581.65
719,Greisch,446.787,1324.62
720,Mecher,446.367,461.52
721,Heiderscheid,443.227,868.67
723,Hautbellain,442.007,149.93
724,Rumlange,440.227,353.24
725,Merkholtz,437.317,676.55
726,Esch-sur-Alzette,436.577,1901.19
727,Goetzigen,435.617,1461.47
732,Limpach,431.417,1732.47
733,Schandel,429.897,1124.57
734,Useldange,428.927,1175.8
735,Lentzweiler,428.517,381.27
737,Schwebach,424.857,1237.95
738,Septfontaines,424.207,1363.61
739,Asselborn,421.217,293.36
740,Goesdorf,419.077,767.73
741,Audun-le-Tiche,419.027,1943.55
742,Dahl,418.417,737.77
743,Nocher,418.207,701.39
744,Merscheid,417.857,906.9
747,Goeblange,413.037,1437.66
749,Ehlerange,412.597,1822.03
751,Deiffelt,412.147,393.17
753,Kapweiler,409.847,1252.55
754,Grosbous,409.547,1025.48
755,Knaphoscheid,408.907,535.65
756,Aumetz,408.607,1965.04
757,Schouweiler,408.267,1685.48
758,Calmus,402.717,1291.1
759,Dellen,401.077,942.91
760,Beuvilliers,400.457,1990.12
761,Doennange,394.697,405.84
762,Audun-le-Roman,392.937,2015.78
763,Everlange,392.877,1164.18
764,Rippweiler,390.007,1222.96
765,Reimberg,388.407,1108.59
766,Stockem,388.267,359.82
767,Ehner,386.567,1309.65
768,Eschweiler,385.717,571.67
770,Koerich,383.207,1437.66
771,Garnich,382.647,1582.97
772,Dahlem,382.037,1622.52
774,Selscheid,380.497,518.14
777,Lullange,377.207,418.77
779,Weiler,375.677,283.03
780,Belval,375.497,1893.51
782,Micheville,375.337,1959.03
783,Hagen,374.617,1499.19
784,Eschdorf,372.487,872.07
786,Buederscheid,368.137,737.89
787,Landres,367.647,2093.74
788,Platen,367.237,1127.33
789,Bettborn,367.237,1108.59
790,Pratz,366.827,1089.38
793,Esch-sur-Sûre,360.797,807.56
794,Soleuvre,360.607,1827.56
797,Buschrodt,359.527,1030.09
799,Villerupt,358.247,1989.87
