origin,dest,count
1051,4021,19.4666667
1051,4031,41.8235294
1051,4032,111.346626
1051,4041,19.4666667
1051,4043,10.9615385
1051,4051,19.4666667
1051,4071,14.3684211
1051,4081,19.4666667
1051,4091,18.9230769
1051,5011,18.9230769
1051,5021,10.9615385
1051,5091,64.4453441
1051,6111,32.9787879
1051,7041,19.1666667
1051,7071,92.3930403
1051,8021,12.0769231
1051,8071,3.80952381
1051,8091,237.739544
1051,8111,15.375
1051,11081,6.34782609
1051,12051,10.9615385
1051,57672,144.725816
1051,63067,25.3229754
1051,81001,322.107029
1051,81004,27.9643303
1051,84043,46.1843572
1051,85045,30.1957387
1051,85046,31.8822091
1051,7211001,36.7142857
1061,1011,32.962963
1061,1021,32.825
1061,1041,29.2049672
1061,1051,28.7368421
1061,1061,5114.23933
1061,1071,250.813137
1061,1081,96.6795322
1061,1091,273.789532
1061,1093,421.134471
1061,1101,67.1480518
1061,1111,132.502249
1061,2011,46.175
1061,2012,34.7857143
1061,2023,112.2
1061,2041,201.794444
1061,2042,25.3888889
1061,2045,6.35294118
1061,2061,55.5
1061,2071,65.4677711
1061,2082,96.4861931
1061,2101,16.2705628
1061,2111,41.7272727
1061,2141,167.433299
1061,3011,82.6
1061,3012,338.225289
1061,3013,54.9875
1061,3014,303.177571
1061,3015,255.601389
1061,3016,53.7536232
1061,3017,149.929167
1061,3019,203.687613
1061,3020,321.65357
1061,3022,121.302219
1061,3023,94.625
1061,4011,356.72105
1061,4021,24.05
1061,4031,60.1746032
1061,4032,41.0803571
1061,4043,19.8125
1061,4061,42.875
1061,4071,20.6666667
1061,4081,390.451663
1061,4091,197.791775
1061,5011,47.1111111
1061,5021,34.8291667
1061,5071,57.8214286
1061,5081,23.4
1061,5091,272.76369
1061,5111,71.6489262
1061,6071,13.1428571
1061,6101,13.95
1061,6111,20.1620189
1061,7041,63.8522727
1061,7061,16.5222222
1061,7071,110.777778
1061,7131,13.8181818
1061,8021,11.3125
1061,8031,8.44444444
1061,8051,5.95238095
1061,8071,33.0069444
1061,8091,69.0277778
1061,8101,15.4285714
1061,8111,86.3816739
1061,8131,10
1061,8141,42.3076923
1061,10011,24.05
1061,10031,17.0062958
1061,11041,19.5454545
1061,11071,8.94736842
1061,12011,29.2307692
1061,12051,105.249254
1061,12091,72.5
1061,13011,15.45
1061,13041,7.42857143
1061,13051,35.0909091
1061,54137,24.7555638
1061,54138,13.3899971
1061,54270,13.3899971
1061,54323,13.3899971
1061,54580,15.8746724
1061,55545,26.3079878
1061,57038,15.8746724
1061,57227,13.3899971
1061,57463,49.0092482
1061,57498,26.7799941
1061,57650,26.3079878
1061,57672,13.3899971
1061,57731,11.9988821
1061,57733,11.9988821
1061,57764,65.8182473
1061,62063,12.0973093
1061,81001,186.653167
1061,81003,12.5756625
1061,81004,35.8654896
1061,81015,60
1061,82003,21.6809887
1061,83034,12.0973093
1061,84043,50.2076004
1061,85045,28.6842216
1061,85046,78.1575792
1061,7211001,43.788972
1061,7235062,21.894486
1061,7235068,17.2999795
1071,1011,62.2201087
1071,1031,39.8842105
1071,1041,80.209632
1071,1051,227.528006
1071,1061,266.613507
1071,1071,3404.81081
1071,1081,49.4458204
1071,1091,211.393856
1071,1093,488.902605
1071,1101,41.2683509
1071,1111,400.63503
1071,2011,12.0625
1071,2012,56.2142857
1071,2023,7.73076923
1071,2031,20.9297659
1071,2033,38.4
1071,2041,7.73076923
1071,2043,12.0625
1071,2044,44.29
1071,2045,34.2505342
1071,2051,122.95
1071,2071,56.6833682
1071,2082,21.5641026
1071,2091,12.0625
1071,2092,80.2013575
1071,2101,31.4309869
1071,2131,21.2844934
1071,2133,59.7083333
1071,3011,98.5195804
1071,3012,49.7777778
1071,3013,23.2246377
1071,3014,127.404767
1071,3015,102.882735
1071,3016,20.9297659
1071,3017,7.73076923
1071,3019,135.741778
1071,3020,19.888664
1071,3021,12.0625
1071,3022,112.274737
1071,3023,105.515525
1071,3024,47.8977546
1071,4011,195.811604
1071,4021,9.39130435
1071,4031,51.7692308
1071,4032,20.0413043
