,StopPointCode,StopPointAuthority,StopPointShortName,StopPointPublicCode,StopPointStopType,StopPointLatitude,StopPointLongitude,passengers
12,1140073,AVL,Nicolas Simmer Quai 1,ARLO073,busStation,49.6141755306175,6.11367614829,756
24,7228023,AVL,"Helmsange, Helsemer Barriär Quai 1",GARE023,busStation,49.6599291646263,6.13566471957518,904
25,7228019,AVL,"Walferdange, Gare Quai 1",GARE019,busStation,49.6614959565945,6.13608545777653,256
26,7220040,AVL,"Helmsange, Tricentenaire Quai 1",DIEK040,busStation,49.6622455803607,6.13329726535181,649
27,7220092,AVL,"Helmsange, Mercatoris Quai 1",DIEK092,busStation,49.6652713772331,6.13414498512975,764
28,7330085,AVL,"Heisdorf, Millewee Quai 1",LUXE085,busStation,49.6687880934152,6.13519958665667,951
29,1140197,AVL,Rue d'Ostende Quai 1,ARLO197,busStation,49.614838637605,6.10852780152297,935
30,7330067,AVL,"Heisdorf, Bei der Parkmauer Quai 1",LUXE067,busStation,49.671018548885,6.13590019233024,828
31,7330029,AVL,"Heisdorf, Klouschter Quai 1",LUXE029,busStation,49.6743088764792,6.13725944688657,300
32,8009119,AVL,"Strassen, Aurélia Quai 1",ARLO119,busStation,49.6188561699443,6.0811495412159,520
33,7329028,AVL,"Heisdorf, Altersheem Quai 1",MULL028,busStation,49.6759466907352,6.13509760015452,24
34,7317041,AVL,"Müllendorf, Mëlleref Quai 1",EYSC041,busStation,49.678789603808,6.12856682355927,841
36,7330034,AVL,"Heisdorf, Klouschter Quai 2",LUXE034,busStation,49.6745890718767,6.13731230090693,303
39,8011305,AVL,"Strassen, Geesseneck Quai 1",ARLO305,busStation,49.621605876677,6.06183343988462,906
40,7327028,AVL,"Steinsel, Kennedy Quai 1",KENN028,busStation,49.6705275959889,6.12517233249346,286
41,7333062,AVL,"Steinsel, Industriezon",PRES062,busStation,49.6695673786741,6.12563095343015,659
43,8011345,AVL,"Strassen, Schoenacht Quai 1",ARLO345,busStation,49.6220846683686,6.05766404105226,293
45,8009155,AVL,"Strassen, Benelux Quai 1",ARLO155,busStation,49.6195324895288,6.07658102862774,484
46,8011261,AVL,"Strassen, Kesseler Quai 1",ARLO261,busStation,49.6209433380012,6.06656770736254,427
47,8011203,AVL,"Strassen, Barblé Quai 1",ARLO203,busStation,49.6202120089683,6.071790633238,225
48,8009061,AVL,"Strassen, Hondseck Quai 1",ARLO061,busStation,49.6179654759234,6.08757235392053,521
49,8009023,AVL,"Strassen, Huorgarten Quai 1",ARLO023,busStation,49.6173239535887,6.09211079349693,994
50,7317054,AVL,"Müllendorf, Mëlleref Quai 2",EYSC054,busStation,49.6790878974477,6.1300743038702,686
51,1150247,AVL,Wandmillen Quai 1,ARLO247,busStation,49.6157443846535,6.10301876210726,277
52,7327029,AVL,"Steinsel, Kennedy Quai 2",KENN029,busStation,49.6705431960327,6.12471397433497,400
55,7317911,AVL,"Steinsel, Michel Rodange Plaz Quai 2",EYSC911,busStation,49.6769198704166,6.12464270943722,327
56,7329007,AVL,"Heisdorf, Altersheem Quai 2",MULL007,busStation,49.6757943173031,6.13512042192373,866
57,7330048,AVL,"Heisdorf, Bei der Parkmauer Quai 2",LUXE048,busStation,49.6710790337134,6.13579960461144,606
59,7330086,AVL,"Heisdorf, Millewee Quai 2",LUXE086,busStation,49.6687756830753,6.13506170376012,507
60,7220109,AVL,"Helmsange, Mercatoris Quai 2",DIEK109,busStation,49.6661834910039,6.13428540677002,963
61,7228020,AVL,"Walferdange, Gare Quai 2",GARE020,busStation,49.6615447181282,6.13587470577299,315
62,7220003,AVL,"Walferdange, Gemenge Plaz Quai 2",DIEK003,busStation,49.6591506895898,6.13038878980486,693
72,1479902,AVL,Stäreplaz / Étoile Quai 2,ARLO902,busStation,49.6136432086386,6.11794436270911,78
73,1140034,AVL,Nicolas Simmer Quai 2,ARLO034,busStation,49.6143203102899,6.11334913793103,133
74,1140060,AVL,Rue d'Ostende Quai 2,ARLO060,busStation,49.6150134654149,6.10868360169839,766
75,1150106,AVL,Wandmillen Quai 2,ARLO106,busStation,49.6159588988377,6.10224449036908,338
76,8008020,AVL,"Strassen, Huorgarten Quai 2",ARLO020,busStation,49.6174134365562,6.09209161777162,119
77,8008048,AVL,"Strassen, Hondseck Quai 2",ARLO048,busStation,49.6180711833372,6.08748296724584,374
78,8008102,AVL,"Strassen, Aurélia Quai 2",ARLO102,busStation,49.6191109126903,6.08019270143705,428
79,8008128,AVL,"Strassen, Benelux Quai 2",ARLO128,busStation,49.6197240689636,6.07597411923315,989
80,8010168,AVL,"Strassen, Barblé Quai 2",ARLO168,busStation,49.6206496916383,6.06953490673999,580
81,8010194,AVL,"Strassen, Kesseler Quai 2",ARLO194,busStation,49.6210652405508,6.06640805701645,549
82,8010224,AVL,"Strassen, Geesseneck Quai 2",ARLO224,busStation,49.6216592195228,6.06216258100498,912
83,8010258,AVL,"Strassen, Schoenacht Quai 2",ARLO258,busStation,49.6222042581185,6.05776761847694,384
85,8268002,AVL,"Bertrange, Gaston Thorn / LJBM",THOR002,busStation,49.6210130880358,6.03683225623981,55
1,1126904,AVL,"Belair, Kierch Quai 3",AMST904,busStation,49.6106517689219,6.10766810105707,427
3,2721012,AVL,Alphonse Weicker Quai 1,WEIC012,busStation,49.6322613003208,6.16986601233203,128
4,1935023,AVL,Celtes,LIGU023,busStation,49.6014414629848,6.09518792160396,134
5,1215077,AVL,Barrière Quai 1,BARR077,busStation,49.6017792398593,6.09717496717478,118
6,1635095,AVL,Amsterdam Quai 1,GOEB095,busStation,49.6122034520038,6.10855921571296,481
8,2134033,AVL,Conservatoire Quai 1,MART033,busStation,49.6023301822657,6.10587679452934,161
9,1430031,AVL,Athénée Quai 1,DUPO023,busStation,49.6052663290246,6.11104633300297,842
10,2670032,AVL,Place de Liège Quai 1,VERD032,busStation,49.6086917048604,6.10771494873192,205
11,1635037,AVL,Archiducs Quai 1,GOEB037,busStation,49.6126722615565,6.11256045074023,668
12,1371013,AVL,Square de New York Quai 1,CROI013,busStation,49.6131624299856,6.11525902594974,894
14,2163043,AVL,Monterey Quai 3,MONT043,busStation,49.6102044779639,6.12364359196666,591
15,2134054,AVL,Conservatoire Quai 2,MART054,busStation,49.6022959692474,6.10558813097492,429
16,1855006,AVL,Rout Bréck - Pafendall Quai 1,KENN006,busStation,49.6182754777259,6.13601808040581,487
17,1724005,AVL,Amélie,HENR005,busStation,49.6135947821674,6.12503615314638,495
18,2227901,AVL,Fondation Pescatore Quai 1,NEUV901,busStation,49.6156554848384,6.12686713946269,545
19,2226002,AVL,Philharmonie / MUDAM Quai 1,NIED002,busStation,49.6198572503834,6.14140883540122,636
20,1615004,AVL,Niedergrünewald Quai 1,GASP004,busStation,49.6223470198693,6.14605446892399,507
21,1468901,AVL,Léon Hengen Quai 1,ERAS901,busStation,49.6235993087502,6.14977571215877,74
22,2167012,AVL,Bleuets Quai 1,MUGU012,busStation,49.6205202600172,6.15406816269419,639
23,2167040,AVL,Pâquerettes Quai 1,MUGU040,busStation,49.6225947773506,6.15904332016917,762
24,2167078,AVL,Marguerites Quai 1,MUGU078,busStation,49.6238508594297,6.16110287982996,73
25,2167124,AVL,Muguets Quai 1,MUGU124,busStation,49.6266937897648,6.16403976974527,45
26,1857108,AVL,Labours Quai 1,KIEM108,busStation,49.6292362674222,6.16793622771969,255
27,1912026,AVL,Rehazenter Quai 1,LABO026,busStation,49.6290617446473,6.17514828467296,186
28,2720011,AVL,Pierre Werner Quai 1,WERN011,busStation,49.6326442477532,6.17780806164269,23
29,1635042,AVL,Archiducs Quai 2,GOEB042,busStation,49.6126691647041,6.11207604741123,12
30,2540012,AVL,Hôpital Kirchberg Quai 2,STEI012,busStation,49.6322404819401,6.17453492865759,580
31,1855009,AVL,Rout Bréck - Pafendall Quai 2,KENN009,busStation,49.6184234838331,6.13545552256772,618
32,2721011,AVL,Alphonse Weicker Quai 2,WEIC011,busStation,49.6323521518607,6.16990229635365,451
33,1430018,AVL,Athénée Quai 2,DUPO018,busStation,49.6053330157307,6.11083474047343,472
34,1857109,AVL,Labours Quai 2,KIEM109,busStation,49.6291133854129,6.16769405959043,489
35,2721005,AVL,Chambre des Métiers Quai 1,WEIC005,busStation,49.6336985811776,6.16794045444102,787
36,2167027,AVL,Bleuets Quai 2,MUGU027,busStation,49.6205811035661,6.15398153123777,568
37,2721006,AVL,Chambre des Métiers Quai 2,WEIC006,busStation,49.63366959863,6.1678590292374,238
38,2540009,AVL,Hôpital Kirchberg Quai 3,STEI009,busStation,49.6325072249592,6.17514277376167,407
39,2720010,AVL,Pierre Werner Quai 2,WERN010,busStation,49.6319118436644,6.17765650396441,75
40,1912025,AVL,Rehazenter Quai 2,LABO025,busStation,49.6290770752246,6.174302555657,284
41,2167149,AVL,Muguets Quai 2,MUGU149,busStation,49.6263951252934,6.16360010000648,360
42,2167105,AVL,Marguerites Quai 2,MUGU105,busStation,49.6235470928683,6.16045582471149,323
43,2226001,AVL,Philharmonie / MUDAM Quai 2,NIED001,busStation,49.619973693406,6.14138817062622,737
44,2167075,AVL,Pâquerettes Quai 2,MUGU075,busStation,49.6224088052073,6.15843098194629,217
45,1615903,AVL,Léon Hengen Quai 2,GASP903,busStation,49.623659713649,6.14894128300639,370
46,2226007,AVL,Niedergrünewald Quai 2,NIED007,busStation,49.6215829536007,6.14425737647978,607
47,2227902,AVL,Fondation Pescatore Quai 2,NEUV902,busStation,49.615729809492,6.12659968925657,943
49,1479912,AVL,Stäreplaz / Étoile Quai 4,ARLO912,busStation,49.6135581704657,6.11850320396371,223
50,1635106,AVL,Amsterdam Quai 2,GOEB106,busStation,49.6122003342252,6.10771484300449,820
